Title,Company,Location,Category,Salary,FullDescription,Requirements,job_text,job_text_clean,Title_clean,Requirements_clean
Computer Science Teacher,GATEWAY SCIENCE ACADEMY OF SAINT LOUIS,"Saint Louis, Saint Louis County",IT Jobs,1,"Bachelor's degree in computer education, computer science and technology, or computer engineering, and 24 months of full-time experience in the job or as an ICT teacher are required. M-F, 40 hrs./wk. Mail resumes to Mustafa Icel, Gateway Science Academy of St Louis, 5049 Fyler Avenue, St. Louis, MO 63139.",,"Bachelor's degree in computer education, computer science and technology, or computer engineering, and 24 months of full-time experience in the job or as an ICT teacher are required. M-F, 40 hrs./wk. Mail resumes to Mustafa Icel, Gateway Science Academy of St Louis, 5049 Fyler Avenue, St. Louis, MO 63139.",bachelor degree computer education computer science technology computer engineering 24 month full time experience job ict teacher required f 40 hr wk mail resume mustafa icel gateway science academy st louis 5049 fyler avenue st louis mo 63139,computer science teacher,
Computer Science Patent Junior Attorney (Hybrid),Avant Tech,"Saint Louis, Saint Louis County",IT Jobs,0,"Avant Tech is looking for a talented Computer Science Patent Associate Attorney to join our thriving technology law practice. The successful candidate will provide sophisticated legal counsel to clients in the software, hardware, and data science sectors, focusing on patent prosecution and intellectual property strategy. This role will involve working with leading tech companies to protect innovations and navigate complex patent issues. Key Responsibilities: Prepare, file, and prosecute patent …",,"Avant Tech is looking for a talented Computer Science Patent Associate Attorney to join our thriving technology law practice. The successful candidate will provide sophisticated legal counsel to clients in the software, hardware, and data science sectors, focusing on patent prosecution and intellectual property strategy. This role will involve working with leading tech companies to protect innovations and navigate complex patent issues. Key Responsibilities: Prepare, file, and prosecute patent …",avant tech looking talented computer science patent associate attorney join thriving technology law practice successful candidate provide sophisticated legal counsel client software hardware data science sector focusing patent prosecution intellectual property strategy role involve working leading tech company protect innovation navigate complex patent issue key responsibility prepare file prosecute patent,computer science patent junior attorney hybrid,
Senior Security Technical Architect,Edward Jones,"Manchester, Saint Louis County",IT Jobs,1,"Innovate here. And see your ideas come to life. It's an exciting time to work in tech at Edward Jones. We are making massive investments in emerging technologies to improve how we work with our clients and with each other. Relationships are the focus of our business model. And working in Technology here means using your skills to build, deliver and maintain the technologies that enable us to deepen and support those relationships. The best part? We develop and create our own industry-leading so…",,"Innovate here. And see your ideas come to life. It's an exciting time to work in tech at Edward Jones. We are making massive investments in emerging technologies to improve how we work with our clients and with each other. Relationships are the focus of our business model. And working in Technology here means using your skills to build, deliver and maintain the technologies that enable us to deepen and support those relationships. The best part? We develop and create our own industry-leading so…",innovate see idea come life exciting time work tech edward jones making massive investment emerging technology improve work client relationship focus business model working technology mean using skill build deliver maintain technology enable u deepen support relationship best part develop create industry leading,senior security technical architect,
SAP Security Manager,Anheuser-Busch,"Signal Hill, Saint Clair County",IT Jobs,1,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",dreaming big dna company culture heritage ever future future always looking forward always serving new way meet life moment future keep dreaming bigger look people passion talent curiosity provide teammate resource opportunity unleash full potential power create together combine strength,sap security manager,
SAP Security Manager,Anheuser-Busch,"Moline Acres, Saint Louis County",IT Jobs,1,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",dreaming big dna company culture heritage ever future future always looking forward always serving new way meet life moment future keep dreaming bigger look people passion talent curiosity provide teammate resource opportunity unleash full potential power create together combine strength,sap security manager,
SAP Security Manager,Anheuser-Busch,"East Carondelet, Saint Clair County",IT Jobs,1,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",dreaming big dna company culture heritage ever future future always looking forward always serving new way meet life moment future keep dreaming bigger look people passion talent curiosity provide teammate resource opportunity unleash full potential power create together combine strength,sap security manager,
SAP Security Manager,Anheuser-Busch,"Riverview, Saint Louis County",IT Jobs,1,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",dreaming big dna company culture heritage ever future future always looking forward always serving new way meet life moment future keep dreaming bigger look people passion talent curiosity provide teammate resource opportunity unleash full potential power create together combine strength,sap security manager,
SAP Security Manager,Anheuser-Busch,"National Stock Yards, Saint Clair County",IT Jobs,1,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",dreaming big dna company culture heritage ever future future always looking forward always serving new way meet life moment future keep dreaming bigger look people passion talent curiosity provide teammate resource opportunity unleash full potential power create together combine strength,sap security manager,
SAP Security Manager,Anheuser-Busch,"Centreville, Saint Clair County",IT Jobs,1,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",dreaming big dna company culture heritage ever future future always looking forward always serving new way meet life moment future keep dreaming bigger look people passion talent curiosity provide teammate resource opportunity unleash full potential power create together combine strength,sap security manager,
SAP Security Manager,Anheuser-Busch,"East Saint Louis, Saint Clair County",IT Jobs,1,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is …",dreaming big dna company culture heritage ever future future always looking forward always serving new way meet life moment future keep dreaming bigger look people passion talent curiosity provide teammate resource opportunity unleash full potential power create together combine strength,sap security manager,
